session_name,paper_id,title,authors,institutions,abstract,pdf_url,pdf_available,doi,page_number,received_date,accepted_date
WEP - Poster Session 2,WEP01,A concept improvement design of the girder adjustment system for TPS storage ring,,,"The girder adjustment system of TPS storage ring can fine adjust each girder in 6 axes with 6 kinematic mounting motorized cam movers. The installation of the TPS had demonstrated this design. However, this design is freely mounted with gravity and the 1st natural frequency is less than 30 Hz even with supplement side locking system. Moreover, the motor controller restricts the beginning power output and sometimes the girder will falling when the electromagnetic motor brake is released. A concept improvement design is thus introduced to modify these situations. In this design, a worm gearbox addition can raised the reduction ratio to prevent the falling and inverse kinematic mounting movers with strong springs not only firmly lack the girder to raise the natural frequency but also preserve the motorized algorithm. This paper describes the design in detail.T. Tseng, C. Lin, C. Kuan, C. Huang, D. Huang, H. Wang, K. Hsu, W. Lai  National Synchrotron Radiation Research Center",https://meow.elettra.eu/88/pdf/WEP01.pdf,True,https://doi.org/10.18429/JACoW-MEDSI2025-WEP01,161,,
WEP - Poster Session 2,WEP02,As built front ends for the Advance Photon Source MBA upgrade,,,"The Advanced Photon Source (APS) upgrade from double-bend achromats (DBA) to multi-bend achro-mats (MBA) lattice is completed. All storage ring components and front ends were installed between April 2023 to April 2024 and fully commissioned. Some major changes have been made on front ends since our last front end design paper published in MEDSI2018 proceedings. The changes are: 1) Removed clearing magnet from all front ends, 2) Incorporated a Burn-Through-Mask (BTM) as the first fixed mask for all Insertion Device (ID) front ends, 3) Added a new-design diamond window to replace beryllium window for windowed High Heat Load Front End (HHLFE). The upgraded APS front ends will only have three types: a) HHLFE for single beam, b) Canted Front End (CFE) for canted beam, c) Bending Magnet Front End (BMFE) for bending magnet beam. This paper presents the as-built version of all three types of front ends.Y. Jaski  Argonne National LaboratoryF. Westferro, S. Oprondek, M. Erdmann, T. Clute, M. Ramanathan  Advanced Photon Source",https://meow.elettra.eu/88/pdf/WEP02.pdf,True,https://doi.org/10.18429/JACoW-MEDSI2025-WEP02,164,,
WEP - Poster Session 2,WEP04,Collaborative design with an integrated CAD model in the PETRA IV project,,,"The PETRA IV project involves the refurbishment of the 2.3 km PETRA accelerator to accommodate almost 40 beamlines. It also includes the conversion and construction of numerous buildings, including a large experimental hall, with first light planned for 2032. To support planning and design with a model-based approach, a comprehensive, integrated CAD model has been set up. The model comprises civil infrastructure, the accelerator, beamlines, and infrastructure systems. Serving as a single source of truth, it supports a diverse project team, including civil and mechanical engineers, beamline scientists, and other stakeholders, each with different technical backgrounds and needs. The fully integrated CAD model is tied to systems engineering processes like requirements management, and supports collaboration across disciplines. Multiple levels of abstraction, a structured hierarchy, and explicit modelling of interfaces help bridge communication gaps. They also reduce redundant work and minimize design errors, all critical for efficient design in collaboration.M. Diercks, B. List, C. Kula, L. Hagge, M. Huening, P. Petersen  Deutsches Elektronen-Synchrotron DESY",https://meow.elettra.eu/88/pdf/WEP04.pdf,True,https://doi.org/10.18429/JACoW-MEDSI2025-WEP04,167,,
WEP - Poster Session 2,WEP05,Systematic reduction of lattice complexity through variant minimization,,,"The design of an accelerator system requires translating the lattice into an engineering design model from which the machine can be built, fulfilling the requirements of beam dynamics and from mechanical engineering. To achieve this in an efficient manner, a systematic and manageable iterative design process has been established, which ensures consistency between the lattice and the mechanical model and enables a fast translation of the calculated lattice into a CAD model with correctly placed components within one day through the use of newly developed automation tools. An analysis process of the lattice, a highly modular CAD structure focused on maximal reuse, and strategic variant management together minimize the number of variants necessary. As a result, design, manufacturing and logistics efforts are significantly reduced. This approach establishes a fundamental toolkit. It ensures the traceable integration of physics and engineering requirements throughout the system design process of PETRA IV, the planned next-generation synchrotron light source at DESY.M. Diercks, B. List, C. Kula, L. Hagge, M. Huening  Deutsches Elektronen-Synchrotron DESY",https://meow.elettra.eu/88/pdf/WEP05.pdf,True,https://doi.org/10.18429/JACoW-MEDSI2025-WEP05,170,,
WEP - Poster Session 2,WEP06,Compact permanent magnets for small bore accelerators,,,"In synchrotron light sources, electromagnets are used to bend and accelerate electron beams. In 4th generation sources, the electron beam can fit in smaller bore accelerators, allowing the use of permanent magnets, which have many advantages over electromagnets. This poster focuses on the mechanical design, fabrication and testing of two compact permanent magnet systems, which have a 1:5 magnet to metal volume ratio. The first is a dipole-quadrupole magnet assembly, providing a 1 T dipole + 50 T/m quadrupole field to steer the electron. The second is an assembly to adjust a set of tuner and corrector permanent magnets. Regardless of the magnetic forces involved, the tuner magnets can rotate simultaneously and provide a +/- 1 T/m quadrupole field for in situ quadrupole focusing strength adjustments, while corrector magnets can be oriented into a prescribed configuration to compensate for small field errors. Prototypes for the dipole-quadrupole, tuner and corrector holders were manufactured and tested, validating the conceptual design.C. Huschke, A. Allézy, R. Schlueter  Lawrence Berkeley National Laboratory",https://meow.elettra.eu/88/pdf/WEP06.pdf,True,https://doi.org/10.18429/JACoW-MEDSI2025-WEP06,173,,
WEP - Poster Session 2,WEP08,Cooled photoelectron shields on the first mirror of the MAX IV soft x-ray beamlinesThe higher brightness of,,,"th-generation storage rings comes with smaller beam sizes and narrower radiation cones, which in turn can deposit higher power density in the optical components. Maximizing the stability from the source to the sample via the many optical components depends on good mechanics and dealing effectively with the increased heat load. This paper presents the cooled photoelectron shields recently installed at the soft x-ray beamlines at MAX IV. These shields were developed in order to address observed long thermal stabilization times of the first mirrors in the beamline, and the negative impacts of increased photoelectron generation at the mirror surfaces.L. Pickworth  MAX IV Laboratory",https://meow.elettra.eu/88/pdf/WEP08.pdf,False,https://doi.org/10.18429/JACoW-MEDSI2025-WEP08,4,,
WEP - Poster Session 2,WEP10,Design and analysis of photon absorbers for Korea-,,,"GSRKorea-4GSR, which is currently being developed in Korea, aims to provide high performance photon beams. In this work, I present the design and thermodynamic simulation of the photon absorption system to be installed in Korea-4GSR. In synchrotron accelerators, managing the intense photon flux generated by bending magnets and insertion devices is very important for maintaining the accelerator's performance. The emitted synchrotron radiation, characterized by its high intensity and broad spectrum, imposes significant thermal and structural demands on accelerator components. Photon absorbers are essential to effectively block excess photons, ensuring stable operation and extending the lifespan of the vacuum components. The storage ring of Korea-4GSR consists of a total of 28 cells. Each cell is planned to be equipped with 5 photon absorbers and 3 photon masks. The synchrotron radiation power per cell is 15.68[kW], of which the photon absorbers and photon masks absorb 11.51[kW], while the vacuum chamber absorbs 3.11[kW]. In the first phase, 9 ID beamlines and one bending magnet beamline are planned to be installed. The crotch absorber has been designed based on the EPU98, which has the largest beam divergence angle and intensity. Extensive research has been conducted to ensure accurate and efficient thermal analysis. Thermal and structural simulations with ANSYS workbench in the worst-case scenario are performed to validate the integrity of the absorber within the acceptable material stress limit. Furthermore, vacuum compatibility is carefully integrated to support long-term operation within the UHV environment.S. Lee, H. Choi, J. Kim, M. Hong, T. Ha  Pohang Accelerator Laboratory",https://meow.elettra.eu/88/pdf/WEP10.pdf,False,https://doi.org/10.18429/JACoW-MEDSI2025-WEP10,4,,
WEP - Poster Session 2,WEP11,Design and analysis of the ALS-U Photon Transport LineThe Advanced Light Source Upgrade (ALS-U) will increase the brightness and coherent flux of soft X-rays by a factor of,,,"through the use of a multibend achromat lattice. While maintaining a similar number of beamlines, this enhancement introduces significant challenges in packaging photon transport line (PTL) components and managing elevated thermal loads within increasingly constrained spaces. To address these issues, we performed a comprehensive design and analysis of all PTL absorbers and vacuum chambers, using CAD-based ray tracing, geometric evaluations, and numerical simulations to assess beam power deposition under both nominal and missteered conditions. Different thermal analysis strategies were employed for insertion device and bend magnet beamlines to ensure safe operation across varied beam characteristics. This work summarizes the design methodology, analysis results, and the current development status of the ALS-U Photon Transport Line as it advances toward production and testing.T. Cui  Lawrence Berkeley National Laboratory",https://meow.elettra.eu/88/pdf/WEP11.pdf,False,https://doi.org/10.18429/JACoW-MEDSI2025-WEP11,100,,
WEP - Poster Session 2,WEP12,Design and development of the beam collimators for CiADS,,,"China initiative Accelerator Driven System (CiADS) consists of a 350m-long linac, a spallation target, a sub-critical reactor and several experimental terminals. The linac will provide protons at the energy of 500MeV with 2.5MW power. In order to keep the uncontrolled beam loss along the beam transport line before entering the target and the reactor less than 1 W/m, a two-stage collimation system with (2+1) periodic lattice has been designed for the linac and target coupling section of CiADS. The detailed design of the beam collimation system is presented, including material selection, structural design, thermal performance analysis, radiation shielding optimization, and remote maintenance. Key technical issues which affect the collimation equipment development are also introduced.H. Niu, H. Cai, H. Jia, Y. Zheng, Y. Pan, Y. Qin, Y. Huang, f. wang  Institute of Modern Physics",https://meow.elettra.eu/88/pdf/WEP12.pdf,True,https://doi.org/10.18429/JACoW-MEDSI2025-WEP12,176,,
WEP - Poster Session 2,WEP13,Design and implementation of an in-vacuum magnetic field measurement system for the TPS nonlinear in-vacuum kicker,,,"The Taiwan Photon Source (TPS) storage ring employs a traditional four-kicker bump off-axis injection scheme, which can introduce perturbations to the stored beam during the injection phase. To address these issues and facilitate stable top-up injection, a Nonlinear In-vacuum Kicker (NIK) has been developed. This innovative device is specifically designed to produce zero magnetic fields in both the horizontal (Bx) and vertical (By) directions at the beam center, while generating a peak By field at the injection point. This field configuration ensures a transparent injection process by minimizing interference with the stored beam during injection. To accurately assess and refine the magnetic field properties of the NIK while avoiding arcing during measurements in atmospheric condition, a specialized in-vacuum magnetic field measurement system has been developed and deployed. This system enables precise mapping of the magnetic field profile over a range of excitation currents. This paper details the system’s mechanical design, fabrication methodology, and presents preliminary results from its implementation.C. Yang, C. Yang, F. Lin, Y. Chu, C. Chan, C. Chang, H. Chen, C. Fann, J. Jan, T. Chung  National Synchrotron Radiation Research Center",https://meow.elettra.eu/88/pdf/WEP13.pdf,True,https://doi.org/10.18429/JACoW-MEDSI2025-WEP13,180,,
